"","Year","LandAndOceanAverageTemp","LandAndOceanAverageTempUncertainty"
"1",1850,14.8671666666667,0.308166666666667
"2",1851,14.9918333333333,0.312083333333333
"3",1852,15.0065,0.316416666666667
"4",1853,14.9551666666667,0.283833333333333
"5",1854,14.991,0.276416666666667
"6",1855,15.0210833333333,0.291166666666667
"7",1856,14.8793333333333,0.260166666666667
"8",1857,14.75825,0.25975
"9",1858,14.8815,0.251833333333333
"10",1859,14.9299166666667,0.25825
"11",1860,14.8829166666667,0.252166666666667
"12",1861,14.8006666666667,0.2785
"13",1862,14.7400833333333,0.287666666666667
"14",1863,14.93575,0.316333333333333
"15",1864,14.8965,0.287833333333333
"16",1865,14.9966666666667,0.30425
"17",1866,15.057,0.286083333333333
"18",1867,15.0586666666667,0.28575
"19",1868,15.0969166666667,0.249333333333333
"20",1869,15.0655,0.243583333333333
"21",1870,15.0043333333333,0.224833333333333
"22",1871,15.0059166666667,0.232
"23",1872,15.0193333333333,0.2305
"24",1873,15.04925,0.222083333333333
"25",1874,14.957,0.213333333333333
"26",1875,14.9219166666667,0.197083333333333
"27",1876,14.9094166666667,0.193333333333333
"28",1877,15.2826666666667,0.19675
"29",1878,15.3574166666667,0.18625
"30",1879,15.0644166666667,0.183416666666667
"31",1880,15.0086666666667,0.172916666666667
"32",1881,15.0871666666667,0.170083333333333
"33",1882,15.0565833333333,0.160083333333333
"34",1883,14.96325,0.151166666666667
"35",1884,14.83325,0.150666666666667
"36",1885,14.8544166666667,0.154916666666667
"37",1886,14.83525,0.145333333333333
"38",1887,14.816,0.150166666666667
"39",1888,14.9940833333333,0.14925
"40",1889,15.1134166666667,0.152416666666667
"41",1890,14.84075,0.149666666666667
"42",1891,14.9438333333333,0.153583333333333
"43",1892,14.8825,0.156
"44",1893,14.91225,0.15425
"45",1894,14.91475,0.150333333333333
"46",1895,14.969,0.146833333333333
"47",1896,15.0905833333333,0.148
"48",1897,15.0753333333333,0.149333333333333
"49",1898,14.8869166666667,0.1485
"50",1899,15.0483333333333,0.1475
"51",1900,15.1439166666667,0.15025
"52",1901,15.0733333333333,0.14575
"53",1902,14.9583333333333,0.1355
"54",1903,14.8365833333333,0.134833333333333
"55",1904,14.8104166666667,0.133083333333333
"56",1905,14.9546666666667,0.129
"57",1906,15.0319166666667,0.128583333333333
"58",1907,14.8748333333333,0.125833333333333
"59",1908,14.8381666666667,0.125083333333333
"60",1909,14.7903333333333,0.1195
"61",1910,14.8190833333333,0.117583333333333
"62",1911,14.776,0.115166666666667
"63",1912,14.8771666666667,0.116916666666667
"64",1913,14.90875,0.117083333333333
"65",1914,15.07625,0.12525
"66",1915,15.14375,0.13425
"67",1916,14.9013333333333,0.134833333333333
"68",1917,14.80975,0.1405
"69",1918,14.9598333333333,0.148166666666667
"70",1919,15.00675,0.142833333333333
"71",1920,15.02625,0.135583333333333
"72",1921,15.1020833333333,0.129166666666667
"73",1922,15.0123333333333,0.124083333333333
"74",1923,15.0278333333333,0.122666666666667
"75",1924,15.0393333333333,0.1245
"76",1925,15.0903333333333,0.123916666666667
"77",1926,15.2410833333333,0.122416666666667
"78",1927,15.12225,0.121666666666667
"79",1928,15.13225,0.123333333333333
"80",1929,14.9674166666667,0.124666666666667
"81",1930,15.1725,0.128916666666667
"82",1931,15.22825,0.129083333333333
"83",1932,15.188,0.129416666666667
"84",1933,15.0129166666667,0.127083333333333
"85",1934,15.1445,0.124416666666667
"86",1935,15.1188333333333,0.122333333333333
"87",1936,15.1661666666667,0.120333333333333
"88",1937,15.3005,0.12
"89",1938,15.2930833333333,0.118583333333333
"90",1939,15.3023333333333,0.120583333333333
"91",1940,15.3720833333333,0.122833333333333
"92",1941,15.3846666666667,0.115916666666667
"93",1942,15.3253333333333,0.133083333333333
"94",1943,15.345,0.133666666666667
"95",1944,15.4490833333333,0.12775
"96",1945,15.33075,0.130333333333333
"97",1946,15.26275,0.132416666666667
"98",1947,15.3101666666667,0.12875
"99",1948,15.2611666666667,0.1285
"100",1949,15.22275,0.107416666666667
"101",1950,15.1395,0.102333333333333
"102",1951,15.3111666666667,0.0989166666666667
"103",1952,15.3630833333333,0.101666666666667
"104",1953,15.4210833333333,0.10225
"105",1954,15.2305833333333,0.0953333333333333
"106",1955,15.1743333333333,0.0880833333333333
"107",1956,15.106,0.0796666666666667
"108",1957,15.3740833333333,0.0844166666666667
"109",1958,15.3820833333333,0.0745
"110",1959,15.3405,0.0739166666666667
"111",1960,15.2919166666667,0.0693333333333333
"112",1961,15.3799166666667,0.0671666666666667
"113",1962,15.3255833333333,0.0725
"114",1963,15.3766666666667,0.0683333333333333
"115",1964,15.1170833333333,0.0651666666666667
"116",1965,15.19575,0.06725
"117",1966,15.2646666666667,0.0636666666666667
"118",1967,15.2941666666667,0.05925
"119",1968,15.2639166666667,0.0601666666666667
"120",1969,15.3905,0.0551666666666667
"121",1970,15.3326666666667,0.05325
"122",1971,15.2,0.0561666666666667
"123",1972,15.2929166666667,0.0558333333333333
"124",1973,15.40475,0.0549166666666667
"125",1974,15.1680833333333,0.05625
"126",1975,15.2386666666667,0.0553333333333333
"127",1976,15.1310833333333,0.0574166666666667
"128",1977,15.40825,0.053
"129",1978,15.3009166666667,0.0555
"130",1979,15.4141666666667,0.0475
"131",1980,15.4918333333333,0.0536666666666667
"132",1981,15.5161666666667,0.0523333333333333
"133",1982,15.3419166666667,0.05475
"134",1983,15.52025,0.0558333333333333
"135",1984,15.3441666666667,0.0571666666666667
"136",1985,15.3406666666667,0.0539166666666667
"137",1986,15.384,0.05325
"138",1987,15.5245,0.0533333333333333
"139",1988,15.55575,0.05325
"140",1989,15.4415833333333,0.0559166666666667
"141",1990,15.6293333333333,0.05725
"142",1991,15.598,0.0550833333333333
"143",1992,15.453,0.0581666666666667
"144",1993,15.4664166666667,0.0591666666666667
"145",1994,15.535,0.0585833333333333
"146",1995,15.6378333333333,0.0604166666666667
"147",1996,15.5246666666667,0.0595
"148",1997,15.7138333333333,0.0591666666666667
"149",1998,15.826,0.063
"150",1999,15.6003333333333,0.0633333333333333
"151",2000,15.6106666666667,0.0635
"152",2001,15.7675,0.0645833333333333
"153",2002,15.8291666666667,0.0629166666666667
"154",2003,15.8265833333333,0.0643333333333333
"155",2004,15.75725,0.06125
"156",2005,15.87925,0.0608333333333333
"157",2006,15.8135,0.061
"158",2007,15.8273333333333,0.0590833333333333
"159",2008,15.72125,0.05725
"160",2009,15.8271666666667,0.0589166666666667
"161",2010,15.8955,0.0585833333333333
"162",2011,15.7695,0.059
"163",2012,15.8023333333333,0.0615
"164",2013,15.8544166666667,0.0646666666666667
"165",2014,15.913,0.0631666666666667
"166",2015,16.0585833333333,0.0608333333333333
