"","Year","LandAverageTemp","LandAverageTempUncertainty"
"1",1850,7.90066666666667,0.876416666666667
"2",1851,8.17858333333333,0.881916666666667
"3",1852,8.10016666666667,0.91825
"4",1853,8.04183333333333,0.835
"5",1854,8.2105,0.825666666666667
"6",1855,8.11075,0.887166666666667
"7",1856,7.99591666666667,0.76075
"8",1857,7.75816666666667,0.751083333333333
"9",1858,8.10025,0.69975
"10",1859,8.252,0.674666666666667
"11",1860,7.96083333333333,0.626
"12",1861,7.8465,0.653416666666667
"13",1862,7.55858333333333,0.688916666666667
"14",1863,8.11183333333333,0.748
"15",1864,7.98358333333333,0.676416666666667
"16",1865,8.17783333333333,0.662166666666667
"17",1866,8.29216666666667,0.606
"18",1867,8.43633333333333,0.634833333333333
"19",1868,8.24791666666667,0.546333333333333
"20",1869,8.43208333333333,0.595666666666667
"21",1870,8.20133333333333,0.550166666666667
"22",1871,8.11508333333333,0.57025
"23",1872,8.19383333333333,0.589083333333333
"24",1873,8.35108333333333,0.5505
"25",1874,8.4335,0.517916666666667
"26",1875,7.85958333333333,0.4515
"27",1876,8.08008333333333,0.4335
"28",1877,8.53958333333333,0.455916666666667
"29",1878,8.82975,0.424916666666667
"30",1879,8.16583333333333,0.463416666666667
"31",1880,8.11875,0.414916666666667
"32",1881,8.27091666666667,0.419333333333333
"33",1882,8.12891666666667,0.379916666666667
"34",1883,7.97691666666667,0.370666666666667
"35",1884,7.77366666666667,0.39625
"36",1885,7.91966666666667,0.425
"37",1886,7.9545,0.386
"38",1887,7.91491666666667,0.392083333333333
"39",1888,8.0905,0.382416666666667
"40",1889,8.319,0.369833333333333
"41",1890,7.97166666666667,0.343
"42",1891,8.01933333333333,0.335333333333333
"43",1892,8.06583333333333,0.338833333333333
"44",1893,8.05675,0.34525
"45",1894,8.161,0.31725
"46",1895,8.147,0.29925
"47",1896,8.21491666666667,0.308833333333333
"48",1897,8.29333333333333,0.313833333333333
"49",1898,8.178,0.325666666666667
"50",1899,8.39633333333333,0.32475
"51",1900,8.50158333333333,0.31475
"52",1901,8.54191666666667,0.30625
"53",1902,8.30441666666667,0.29275
"54",1903,8.22016666666667,0.29
"55",1904,8.09091666666667,0.286416666666667
"56",1905,8.22516666666667,0.27875
"57",1906,8.37908333333333,0.274916666666667
"58",1907,7.94716666666667,0.257166666666667
"59",1908,8.18608333333333,0.27475
"60",1909,8.17825,0.26275
"61",1910,8.223,0.260083333333333
"62",1911,8.177,0.247833333333333
"63",1912,8.16541666666667,0.258416666666667
"64",1913,8.29775,0.26225
"65",1914,8.5905,0.251916666666667
"66",1915,8.59316666666667,0.246166666666667
"67",1916,8.22525,0.260416666666667
"68",1917,8.02333333333333,0.260666666666667
"69",1918,8.13083333333333,0.26825
"70",1919,8.38225,0.26675
"71",1920,8.35875,0.262666666666667
"72",1921,8.571,0.256833333333333
"73",1922,8.408,0.258583333333333
"74",1923,8.42216666666667,0.253083333333333
"75",1924,8.50683333333333,0.256833333333333
"76",1925,8.53441666666667,0.24075
"77",1926,8.72883333333333,0.242666666666667
"78",1927,8.52208333333333,0.248916666666667
"79",1928,8.63216666666667,0.248583333333333
"80",1929,8.24241666666667,0.25175
"81",1930,8.63358333333333,0.239666666666667
"82",1931,8.71925,0.23775
"83",1932,8.70525,0.248916666666667
"84",1933,8.33825,0.242666666666667
"85",1934,8.62833333333333,0.240083333333333
"86",1935,8.51575,0.235916666666667
"87",1936,8.554,0.243083333333333
"88",1937,8.69833333333333,0.240083333333333
"89",1938,8.86366666666667,0.2405
"90",1939,8.76033333333333,0.237333333333333
"91",1940,8.76466666666667,0.231083333333333
"92",1941,8.76866666666667,0.227833333333333
"93",1942,8.72841666666667,0.2295
"94",1943,8.75508333333333,0.226583333333333
"95",1944,8.845,0.225166666666667
"96",1945,8.58483333333333,0.220333333333333
"97",1946,8.67691666666667,0.222416666666667
"98",1947,8.79708333333333,0.217083333333333
"99",1948,8.74675,0.209583333333333
"100",1949,8.58675,0.20825
"101",1950,8.36525,0.186333333333333
"102",1951,8.62566666666667,0.184166666666667
"103",1952,8.63825,0.20875
"104",1953,8.87375,0.212083333333333
"105",1954,8.56066666666667,0.187166666666667
"106",1955,8.62625,0.153583333333333
"107",1956,8.27958333333333,0.120833333333333
"108",1957,8.7325,0.158
"109",1958,8.77375,0.104333333333333
"110",1959,8.73266666666667,0.107166666666667
"111",1960,8.58375,0.0935
"112",1961,8.79766666666667,0.097
"113",1962,8.74591666666667,0.132916666666667
"114",1963,8.856,0.0923333333333333
"115",1964,8.40966666666667,0.0925
"116",1965,8.52741666666667,0.108833333333333
"117",1966,8.59933333333333,0.09225
"118",1967,8.70008333333333,0.0836666666666667
"119",1968,8.51633333333333,0.111666666666667
"120",1969,8.59508333333333,0.0851666666666667
"121",1970,8.70091666666667,0.0755833333333333
"122",1971,8.59925,0.0979166666666667
"123",1972,8.49958333333333,0.0953333333333333
"124",1973,8.94825,0.10075
"125",1974,8.4675,0.1045
"126",1975,8.74483333333333,0.0970833333333333
"127",1976,8.34725,0.100583333333333
"128",1977,8.85025,0.0846666666666667
"129",1978,8.69275,0.103833333333333
"130",1979,8.73341666666667,0.0864166666666667
"131",1980,8.98033333333333,0.106666666666667
"132",1981,9.16583333333333,0.08725
"133",1982,8.63916666666667,0.0826666666666667
"134",1983,9.02816666666667,0.094
"135",1984,8.69183333333333,0.102583333333333
"136",1985,8.658,0.09325
"137",1986,8.83358333333333,0.085
"138",1987,8.99441666666667,0.0851666666666667
"139",1988,9.20158333333333,0.0800833333333333
"140",1989,8.922,0.088
"141",1990,9.23416666666667,0.0863333333333333
"142",1991,9.17941666666667,0.0620833333333333
"143",1992,8.83658333333333,0.0833333333333333
"144",1993,8.86658333333333,0.0813333333333333
"145",1994,9.03875,0.0709166666666667
"146",1995,9.34708333333333,0.0764166666666667
"147",1996,9.03891666666667,0.08475
"148",1997,9.20258333333333,0.0885833333333333
"149",1998,9.52266666666667,0.0739166666666667
"150",1999,9.28508333333333,0.07925
"151",2000,9.20116666666667,0.0835
"152",2001,9.41458333333333,0.0874166666666667
"153",2002,9.57041666666667,0.0724166666666667
"154",2003,9.52558333333333,0.0906666666666667
"155",2004,9.32458333333333,0.0834166666666667
"156",2005,9.70091666666667,0.0751666666666667
"157",2006,9.5325,0.09
"158",2007,9.73216666666667,0.0895
"159",2008,9.43175,0.0789166666666667
"160",2009,9.50525,0.0859166666666667
"161",2010,9.70308333333333,0.0834166666666667
"162",2011,9.516,0.082
"163",2012,9.50733333333333,0.0834166666666667
"164",2013,9.6065,0.0976666666666667
"165",2014,9.57066666666667,0.0901666666666667
"166",2015,9.831,0.0921666666666667
